unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829408065,1767829408.0619843,559.0,118158.0,57479.0
1767829408153,1767829408.1519063,557.0,118151.0,57476.0
1767829408153,1767829408.1519217,557.0,117989.0,57485.0
1767829408153,1767829408.1519375,557.0,118159.0,57483.0
1767829408153,1767829408.151953,558.0,118090.0,57479.0
1767829408153,1767829408.1519687,558.0,118095.0,57459.0
1767829408153,1767829408.1519842,559.0,118132.0,57463.0
1767829408257,1767829408.2429063,559.0,118150.0,57509.0
1767829408257,1767829408.2429218,557.0,118096.0,57468.0
1767829408257,1767829408.2429376,559.0,118122.0,57465.0
1767829408257,1767829408.242953,558.0,118112.0,57479.0
1767829408257,1767829408.2429688,557.0,118036.0,57470.0
1767829408257,1767829408.2429843,557.0,118033.0,57472.0
1767829408348,1767829408.3319063,558.0,118046.0,57465.0
1767829408348,1767829408.3319218,557.0,118015.0,57447.0
1767829408348,1767829408.3319376,558.0,118130.0,57465.0
1767829408348,1767829408.331953,557.0,118081.0,57490.0
1767829408348,1767829408.3319688,556.0,118036.0,57467.0
1767829408348,1767829408.3319843,560.0,118092.0,57478.0
1767829408438,1767829408.4369063,558.0,118081.0,57490.0
1767829408438,1767829408.4369218,560.0,118165.0,57477.0
1767829408438,1767829408.4369376,561.0,118148.0,57480.0
1767829408438,1767829408.436953,558.0,118085.0,57484.0
1767829408438,1767829408.4369688,558.0,118161.0,57487.0
1767829408438,1767829408.4369843,558.0,118075.0,57456.0
1767829408528,1767829408.5269063,558.0,118133.0,57479.0
1767829408528,1767829408.5269217,559.0,118016.0,57471.0
1767829408528,1767829408.5269375,559.0,118128.0,57492.0
1767829408528,1767829408.526953,560.0,118132.0,57482.0
1767829408528,1767829408.5269687,559.0,118141.0,57517.0
1767829408528,1767829408.5269842,559.0,118154.0,57482.0
1767829408621,1767829408.6159062,559.0,118221.0,57515.0
1767829408621,1767829408.6159217,558.0,118187.0,57469.0
1767829408621,1767829408.6159375,559.0,118181.0,57519.0
1767829408621,1767829408.615953,559.0,118160.0,57485.0
1767829408621,1767829408.6159687,560.0,118199.0,57525.0
1767829408621,1767829408.6159842,561.0,118150.0,57485.0
1767829408713,1767829408.7089064,559.0,118248.0,57530.0
1767829408713,1767829408.708922,558.0,118223.0,57513.0
1767829408713,1767829408.7089376,561.0,118167.0,57493.0
1767829408713,1767829408.7089531,559.0,118152.0,57495.0
1767829408713,1767829408.7089689,559.0,118168.0,57479.0
1767829408713,1767829408.7089844,560.0,118167.0,57485.0
1767829408815,1767829408.8109064,559.0,118098.0,57478.0
1767829408819,1767829408.810922,559.0,118134.0,57508.0
1767829408820,1767829408.8109376,559.0,118012.0,57441.0
1767829408820,1767829408.8109531,559.0,118116.0,57461.0
1767829408820,1767829408.8109689,560.0,118153.0,57430.0
1767829408820,1767829408.8109844,559.0,118104.0,57461.0
1767829408905,1767829408.9019063,561.0,118151.0,57449.0
1767829408905,1767829408.9019217,560.0,117981.0,57438.0
1767829408905,1767829408.9019375,559.0,117976.0,57432.0
1767829408905,1767829408.901953,560.0,118033.0,57458.0
1767829408905,1767829408.9019687,558.0,117829.0,57438.0
1767829408905,1767829408.9019842,558.0,117985.0,57443.0
1767829408994,1767829408.9909062,561.0,118053.0,57426.0
1767829408994,1767829408.9909217,559.0,118027.0,57466.0
1767829408994,1767829408.9909375,560.0,117977.0,57427.0
1767829408994,1767829408.990953,559.0,117956.0,57422.0
1767829408994,1767829408.9909687,559.0,117964.0,57408.0
1767829408994,1767829408.9909842,560.0,118058.0,57420.0
1767829409097,1767829409.0819063,559.0,117869.0,57418.0
1767829409097,1767829409.0819218,560.0,118041.0,57418.0
1767829409097,1767829409.0819376,559.0,117910.0,57435.0
1767829409097,1767829409.081953,561.0,118054.0,57433.0
1767829409097,1767829409.0819688,559.0,117973.0,57465.0
1767829409097,1767829409.0819843,560.0,117958.0,57434.0
1767829409192,1767829409.1869063,560.0,117961.0,57462.0
1767829409192,1767829409.1869218,560.0,117998.0,57439.0
1767829409192,1767829409.1869376,561.0,118011.0,57447.0
1767829409192,1767829409.186953,559.0,118011.0,57456.0
1767829409192,1767829409.1869688,561.0,118010.0,57454.0
1767829409192,1767829409.1869843,560.0,117998.0,57459.0
1767829409280,1767829409.2779064,562.0,118002.0,57449.0
1767829409280,1767829409.277922,562.0,117985.0,57487.0
1767829409280,1767829409.2779377,561.0,117956.0,57447.0
1767829409280,1767829409.2779531,561.0,118000.0,57445.0
1767829409280,1767829409.277969,560.0,118069.0,57463.0
1767829409280,1767829409.2779844,560.0,118002.0,57484.0
1767829409369,1767829409.3669064,560.0,117954.0,57460.0
1767829409369,1767829409.366922,561.0,118142.0,57516.0
1767829409369,1767829409.3669376,561.0,118060.0,57472.0
1767829409369,1767829409.3669531,560.0,117955.0,57478.0
1767829409369,1767829409.3669689,559.0,118071.0,57468.0
1767829409369,1767829409.3669844,562.0,118032.0,57473.0
1767829409473,1767829409.4719062,560.0,118035.0,57444.0
1767829409473,1767829409.4719217,559.0,118086.0,57487.0
1767829409473,1767829409.4719374,561.0,118053.0,57476.0
1767829409473,1767829409.471953,559.0,118117.0,57505.0
1767829409473,1767829409.4719687,560.0,118088.0,57486.0
1767829409473,1767829409.4719841,562.0,118149.0,57495.0
1767829409594,1767829409.5769062,560.0,118000.0,57509.0
1767829409594,1767829409.5769217,560.0,118113.0,57490.0
1767829409594,1767829409.5769374,560.0,118094.0,57509.0
1767829409594,1767829409.576953,560.0,118083.0,57467.0
1767829409594,1767829409.5769687,559.0,117990.0,57476.0
1767829409594,1767829409.5769842,561.0,118046.0,57479.0
1767829409655,1767829409.6519063,560.0,118000.0,57456.0
1767829409655,1767829409.6519217,559.0,118101.0,57439.0
1767829409655,1767829409.6519375,561.0,118000.0,57462.0
1767829409655,1767829409.651953,560.0,118010.0,57455.0
1767829409655,1767829409.6519687,559.0,118049.0,57493.0
1767829409655,1767829409.6519842,560.0,117970.0,57435.0
1767829409744,1767829409.7419064,561.0,118041.0,57440.0
1767829409744,1767829409.741922,559.0,117926.0,57472.0
1767829409744,1767829409.7419376,560.0,117999.0,57442.0
1767829409744,1767829409.7419531,561.0,117936.0,57471.0
1767829409744,1767829409.7419689,560.0,117974.0,57468.0
1767829409744,1767829409.7419844,563.0,117955.0,57424.0
1767829409849,1767829409.8469062,560.0,117921.0,57447.0
1767829409849,1767829409.8469217,561.0,117936.0,57438.0
1767829409849,1767829409.8469374,562.0,117921.0,57463.0
1767829409849,1767829409.846953,560.0,117933.0,57466.0
1767829409849,1767829409.8469687,561.0,118009.0,57480.0
1767829409849,1767829409.8469841,561.0,117893.0,57453.0
1767829409940,1767829409.9369063,562.0,117872.0,57418.0
1767829409940,1767829409.9369218,561.0,117953.0,57474.0
1767829409940,1767829409.9369376,561.0,117981.0,57453.0
1767829409940,1767829409.936953,561.0,117902.0,57440.0
1767829409940,1767829409.9369688,561.0,117900.0,57447.0
1767829409940,1767829409.9369843,560.0,117905.0,57470.0
1767829410030,1767829410.0279064,560.0,117967.0,57459.0
1767829410030,1767829410.027922,559.0,117883.0,57458.0
1767829410030,1767829410.0279377,561.0,117971.0,57471.0
1767829410030,1767829410.0279531,561.0,117983.0,57458.0
1767829410030,1767829410.027969,560.0,117912.0,57455.0
1767829410030,1767829410.0279844,562.0,117991.0,57466.0
1767829410119,1767829410.1169064,559.0,117859.0,57443.0
1767829410119,1767829410.116922,559.0,117883.0,57456.0
1767829410119,1767829410.1169376,562.0,117998.0,57467.0
1767829410119,1767829410.1169531,562.0,118079.0,57481.0
1767829410119,1767829410.1169689,560.0,117936.0,57465.0
1767829410119,1767829410.1169844,562.0,117986.0,57470.0
1767829410222,1767829410.2079062,561.0,117961.0,57470.0
1767829410222,1767829410.2079217,561.0,118001.0,57489.0
1767829410222,1767829410.2079375,562.0,118036.0,57470.0
1767829410222,1767829410.207953,562.0,118062.0,57482.0
1767829410222,1767829410.2079687,563.0,118062.0,57483.0
1767829410222,1767829410.2079842,562.0,117972.0,57474.0
1767829410315,1767829410.3109064,563.0,118082.0,57506.0
1767829410315,1767829410.310922,563.0,118114.0,57511.0
1767829410315,1767829410.3109376,561.0,118029.0,57492.0
1767829410315,1767829410.3109531,561.0,118048.0,57505.0
1767829410315,1767829410.3109689,561.0,118014.0,57490.0
1767829410315,1767829410.3109844,562.0,118124.0,57451.0
1767829410405,1767829410.4019063,563.0,118036.0,57488.0
1767829410405,1767829410.4019217,563.0,118077.0,57425.0
1767829410405,1767829410.4019375,561.0,117877.0,57460.0
1767829410405,1767829410.401953,562.0,117903.0,57459.0
1767829410405,1767829410.4019687,564.0,117964.0,57444.0
1767829410405,1767829410.4019842,562.0,117881.0,57439.0
