unix_ms,lsl_unix_ts,X,Y,Z
1767829415430,1767829415.4269807,-3.043057680130005,3.8954126834869385,-1.0691823959350586
1767829415487,1767829415.4869423,-2.99072003364563,4.441219329833984,-1.0018912553787231
1767829415488,1767829415.4869616,-3.013150453567505,4.545894622802734,-0.8448783755302429
1767829415493,1767829415.4869807,-3.147732734680176,4.441219329833984,-0.583190381526947
1767829415534,1767829415.5339422,-3.132779121398926,4.231868743896484,-0.613097608089447
1767829415534,1767829415.5339615,-3.08044171333313,4.441219329833984,-0.598143994808197
1767829415534,1767829415.5339806,-3.312222480773926,4.276729583740234,-0.6729120016098022
1767829415592,1767829415.5919423,-3.072964906692505,3.8430752754211426,-0.9495536088943481
1767829415592,1767829415.5919616,-2.923428773880005,3.5140960216522217,-1.1065664291381836
1767829415592,1767829415.5919807,-2.983243227005005,3.6785855293273926,-1.173857569694519
1767829415652,1767829415.6519423,-2.833707094192505,3.7757840156555176,-0.9420768022537231
1767829415652,1767829415.6519616,-2.91595196723938,3.6337246894836426,-1.0841360092163086
1767829415652,1767829415.6519806,-2.968289613723755,4.015041828155518,-0.7402032017707825
1767829415712,1767829415.7119422,-3.043057680130005,4.433742523193359,-0.5009456276893616
1767829415712,1767829415.7119615,-2.90099835395813,4.658046245574951,-0.7102959752082825
1767829415712,1767829415.7119806,-3.03558087348938,4.695430278778076,-0.7177727818489075
1767829415760,1767829415.7599423,-3.162686347961426,4.844966411590576,-0.7551568150520325
1767829415760,1767829415.7599616,-3.00567364692688,4.994502544403076,-0.8972160220146179
1767829415760,1767829415.7599807,-3.013150453567505,5.233759880065918,-1.181334376335144
1767829415820,1767829415.8189423,-3.00567364692688,5.256190299987793,-1.196287989616394
1767829415821,1767829415.8189616,-3.155209541320801,4.942164897918701,-1.1140432357788086
1767829415821,1767829415.8189807,-3.117825508117676,4.822535991668701,-1.0467519760131836
1767829415880,1767829415.8769424,-3.207547187805176,4.643092632293701,-0.7925407886505127
1767829415880,1767829415.8769617,-2.983243227005005,4.665523052215576,-0.7626336216926575
1767829415880,1767829415.8769808,-2.87109112739563,4.314113616943359,-0.7551568150520325
1767829415938,1767829415.9369423,-2.684171199798584,4.665523052215576,-0.6803888082504272
1767829415938,1767829415.9369617,-2.85613751411438,4.471126556396484,-0.3140256106853485
1767829415938,1767829415.9369807,-3.244931221008301,4.089809417724609,-0.15701280534267426
1767829416002,1767829415.9969423,-3.5440032482147217,3.8655056953430176,-0.3215023875236511
1767829416002,1767829415.9969616,-3.200070381164551,3.8281216621398926,-0.41870081424713135
1767829416002,1767829415.9969807,-2.833707094192505,3.6860623359680176,-0.7476800084114075
1767829416045,1767829416.0449424,-2.893521547317505,3.7010159492492676,-1.0916128158569336
1767829416045,1767829416.0449617,-2.983243227005005,3.5514800548553467,-1.3308703899383545
1767829416045,1767829416.0449808,-2.91595196723938,3.4767119884490967,-1.50283682346344
1767829416102,1767829416.1019423,-3.058011293411255,3.282315254211426,-1.44302237033844
1767829416102,1767829416.1019616,-3.00567364692688,2.953336000442505,-1.233672022819519
1767829416102,1767829416.1019807,-3.043057680130005,2.818753480911255,-0.5458064079284668
1767829416163,1767829416.1619422,-2.84118390083313,2.519681692123413,-0.21682719886302948
1767829416163,1767829416.1619616,-2.706601619720459,2.519681692123413,0.09719839692115784
1767829416163,1767829416.1619806,-2.631833553314209,2.691648006439209,0.2841184139251709
1767829416238,1767829416.2369423,-2.788846492767334,2.781369686126709,0.41122400760650635
1767829416238,1767829416.2369616,-2.729032039642334,2.459867238998413,0.02990720048546791
1767829416239,1767829416.2369807,-2.684171199798584,2.908475160598755,-0.3140256106853485
1767829416286,1767829416.2839422,-2.706601619720459,3.312222480773926,-0.42617759108543396
1767829416286,1767829416.2839615,-2.586972713470459,3.7159695625305176,-0.44113120436668396
1767829416286,1767829416.2839806,-2.429960012435913,4.344020843505859,-0.38131681084632874
1767829416345,1767829416.3439424,-2.542112112045288,4.747767925262451,-0.5233759880065918
1767829416345,1767829416.3439617,-2.512204885482788,4.897304058074951,-0.43365439772605896
1767829416345,1767829416.3439808,-2.564542293548584,4.515987396240234,-0.43365439772605896
1767829416388,1767829416.3869424,-2.766416072845459,4.044948577880859,-0.36636319756507874
1767829416388,1767829416.3869617,-2.893521547317505,4.022518634796143,-0.5308527946472168
1767829416388,1767829416.3869808,-2.781369686126709,4.201961517333984,-0.3065488040447235
1767829416462,1767829416.4619422,-2.923428773880005,4.187007904052734,-0.5084223747253418
1767829416462,1767829416.4619615,-2.85613751411438,3.8879361152648926,-0.635528028011322
1767829416462,1767829416.4619806,-2.968289613723755,3.8804593086242676,-0.3289791941642761
1767829416508,1767829416.5069423,-3.043057680130005,4.224391937255859,-0.4859920144081116
1767829416508,1767829416.5069616,-2.908475160598755,3.9253199100494385,-0.6953424215316772
1767829416508,1767829416.5069807,-2.938382387161255,3.9552271366119385,-0.635528028011322
1767829416568,1767829416.5669422,-3.028104066848755,3.8655056953430176,-0.7028192281723022
1767829416568,1767829416.5669615,-2.893521547317505,3.7383999824523926,-0.8822624087333679
1767829416570,1767829416.5669806,-3.259884834289551,3.6935391426086426,-0.8897392153739929
1767829416614,1767829416.6119423,-3.3944671154022217,3.6636319160461426,-0.6878656148910522
1767829416614,1767829416.6119616,-2.97576642036438,3.162686347961426,-0.8374016284942627
1767829416614,1767829416.6119807,-2.400052785873413,2.459867238998413,-0.6579583883285522
1767829416672,1767829416.6719422,-2.706601619720459,0.9345999956130981,-0.4710384011268616
1767829416672,1767829416.6719615,-3.282315254211426,-0.2990719974040985,-0.4934687912464142
1767829416672,1767829416.6719806,-3.8580288887023926,-0.9719840288162231,-0.3215023875236511
1767829416732,1767829416.7319424,-3.9402735233306885,-1.45797598361969,-0.18692000210285187
