unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593598096,1767593598.0185626,-17.578125,-65.91796875,-45.8984375,-40.52734375,107.91015625
1767593598096,1767593598.0224688,-28.3203125,-49.31640625,-44.921875,-40.0390625,9.27734375
1767593598096,1767593598.026375,-25.390625,-21.484375,-43.45703125,-33.203125,-146.97265625
1767593598096,1767593598.0302813,-20.99609375,-46.38671875,-35.15625,-28.3203125,-54.6875
1767593598096,1767593598.0341876,-28.80859375,-106.93359375,-34.1796875,-27.34375,207.03125
1767593598096,1767593598.0380938,-32.2265625,-20.5078125,-37.59765625,-28.80859375,-13.18359375
1767593598102,1767593598.052125,-29.78515625,-2.9296875,-33.203125,-30.76171875,-225.5859375
1767593598102,1767593598.0560312,-27.83203125,-72.75390625,-35.15625,-37.59765625,-18.5546875
1767593598102,1767593598.0599375,-23.4375,-61.03515625,-36.62109375,-41.50390625,-73.2421875
1767593598102,1767593598.0638437,-16.6015625,-40.0390625,-34.66796875,-32.2265625,-284.1796875
1767593598102,1767593598.06775,-18.5546875,-44.43359375,-32.71484375,-30.2734375,-272.94921875
1767593598102,1767593598.0716562,-21.484375,-91.796875,-30.76171875,-29.296875,32.2265625
1767593598102,1767593598.0755625,-22.94921875,-126.953125,-39.55078125,-22.94921875,452.1484375
1767593598102,1767593598.0794687,-29.78515625,-28.80859375,-39.55078125,-31.73828125,228.02734375
1767593598102,1767593598.083375,-24.90234375,3.41796875,-33.69140625,-35.15625,-136.23046875
1767593598102,1767593598.0872812,-26.85546875,-66.40625,-39.0625,-32.2265625,-98.6328125
1767593598102,1767593598.0911875,-29.78515625,-48.33984375,-40.52734375,-37.109375,-170.41015625
1767593598102,1767593598.0950937,-24.90234375,-33.203125,-37.59765625,-38.0859375,-280.2734375
1767593598190,1767593598.062125,-31.73828125,-54.6875,-41.9921875,-37.59765625,-242.67578125
1767593598190,1767593598.0660312,-34.66796875,-114.74609375,-45.41015625,-31.25,125.0
1767593598190,1767593598.0699375,-34.66796875,-118.65234375,-44.43359375,-30.2734375,437.5
1767593598190,1767593598.0738437,-32.2265625,-34.66796875,-43.45703125,-35.64453125,152.34375
1767593598190,1767593598.07775,-26.85546875,-24.90234375,-42.96875,-33.69140625,-115.234375
1767593598190,1767593598.0816562,-28.3203125,-46.875,-44.43359375,-28.3203125,34.66796875
1767593598190,1767593598.0855625,-31.25,-36.1328125,-45.41015625,-33.69140625,32.71484375
1767593598190,1767593598.0894687,-32.71484375,-58.59375,-42.96875,-36.1328125,-88.8671875
1767593598190,1767593598.093375,-29.296875,-64.453125,-39.55078125,-31.73828125,-84.47265625
