TimeStamp,unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10
2025-12-28 21:19:06.773,1766974746773,1766974746.773,794.17584,801.02563,796.99634,759.92676
2025-12-28 21:19:06.774,1766974746774,1766974746.774,799.011,796.99634,803.0403,754.2857
2025-12-28 21:19:06.774,1766974746774,1766974746.774,789.7436,800.6227,806.26373,758.71796
2025-12-28 21:19:06.774,1766974746774,1766974746.774,787.72894,797.3993,794.57874,760.32965
2025-12-28 21:19:06.774,1766974746774,1766974746.774,780.87915,794.57874,797.3993,757.50916
2025-12-28 21:19:06.817,1766974746817,1766974746.817,791.75824,790.14655,795.78754,747.03296
2025-12-28 21:19:06.818,1766974746818,1766974746.818,782.49084,790.9524,796.1905,758.71796
2025-12-28 21:19:06.818,1766974746818,1766974746.818,784.90845,796.1905,799.011,767.5824
2025-12-28 21:19:06.818,1766974746818,1766974746.818,787.326,796.1905,797.3993,762.74725
2025-12-28 21:19:06.820,1766974746820,1766974746.82,793.7729,799.011,792.1612,770.0
2025-12-28 21:19:06.820,1766974746820,1766974746.82,787.72894,797.8022,795.38464,760.32965
2025-12-28 21:19:06.820,1766974746820,1766974746.82,790.54944,798.20514,791.75824,762.3443
2025-12-28 21:19:06.821,1766974746821,1766974746.821,795.78754,796.99634,795.78754,771.6117
2025-12-28 21:19:06.821,1766974746821,1766974746.821,796.99634,807.0696,798.60803,769.19415
2025-12-28 21:19:06.821,1766974746821,1766974746.821,797.3993,800.2198,794.57874,776.8498
2025-12-28 21:19:06.821,1766974746821,1766974746.821,799.011,805.4579,795.78754,773.6264
2025-12-28 21:19:06.822,1766974746822,1766974746.822,799.41394,795.78754,791.75824,776.04395
2025-12-28 21:19:06.861,1766974746861,1766974746.861,801.02563,798.60803,789.7436,770.80585
2025-12-28 21:19:06.862,1766974746862,1766974746.862,794.9817,795.38464,794.57874,773.6264
2025-12-28 21:19:06.862,1766974746862,1766974746.862,796.1905,796.99634,791.3553,772.01465
2025-12-28 21:19:06.862,1766974746862,1766974746.862,797.3993,795.78754,800.6227,774.83514
2025-12-28 21:19:06.863,1766974746863,1766974746.863,803.44324,797.8022,800.6227,777.6557
2025-12-28 21:19:06.863,1766974746863,1766974746.863,803.8461,796.99634,800.2198,780.87915
