unix_ms,rel_timestamp,frame,ipd,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1767829620208,0.9605694,1270,60,Eye Hit,-2.717749,3.375454,8.8,732.0563,867.7107,10.85612,0.02908127,0.1705547,0.984919,10.95146,NorthWalkingSignal,-2.882004,2.152232,13.8,721.0986,792,15.80021,0.009761109,0.04079697,0.9991198,-3.036231,1.507631,-1.986305,15.80021,NorthBuildings_NoColliders,0.01801534,0.1304287,0.991294,7.565923
1767829620229,0.9797783,1271,60,Eye Hit,-2.719354,3.375211,8.8,732.9098,867.7603,10.85529,0.02908104,0.1705547,0.984919,10.95105,NorthWalkingSignal,-2.906019,2.150846,13.8,721.0986,792,15.79955,0.008342248,0.04072198,0.9991357,-3.037822,1.507457,-1.985901,15.79956,NorthBuildings_NoColliders,0.01948461,0.1305091,0.9912556,7.582608
1767829620247,1.000032,1272,60,Eye Hit,-2.730249,3.417431,8.8,733.3676,869.5799,10.85739,0.02813322,0.1743058,0.9842896,10.95787,NorthWalkingSignal,-2.933308,2.161808,13.8,721.0986,792,15.79963,0.006659724,0.0414186,0.9991197,-3.038529,1.50741,-1.985721,15.79963,NorthBuildings_NoColliders,0.02026516,0.1335862,0.9908299,7.765235
1767829620270,1.022125,1273,60,Eye Hit,-2.731785,3.417404,8.8,734.6581,869.2161,10.8574,0.02813321,0.1743058,0.9842896,10.95749,NorthWalkingSignal,-2.96733,2.171578,13.8,721.0986,792,15.79947,0.004602959,0.04203486,0.9991055,-3.040054,1.50745,-1.985345,15.79947,NorthBuildings_NoColliders,0.02248817,0.1329648,0.9908656,7.750106
1767829620291,1.043388,1274,60,Eye Hit,-2.789439,3.471284,8.8,732.9372,871.2819,10.86039,0.02298339,0.1790778,0.9835664,10.96508,NorthWalkingSignal,-3.001335,2.191743,13.8,721.0986,792,15.79975,0.002539197,0.04329572,0.9990591,-3.041453,1.507682,-1.984882,15.79975,NorthBuildings_NoColliders,0.0195173,0.136465,0.9904526,7.92365
1767829620316,1.067751,1275,60,Eye Hit,-2.812901,3.474273,8.8,732.1198,870.9238,10.86148,0.02088883,0.1793523,0.9835631,10.96497,NorthWalkingSignal,-3.012576,2.205533,13.8,721.0986,792,15.80018,0.00185886,0.04416741,0.9990224,-3.041946,1.50768,-1.984736,15.80018,NorthBuildings_NoColliders,0.0181125,0.1358637,0.990562,7.878085
1767829620337,1.089035,1276,60,Eye Hit,-2.813997,3.47421,8.8,732.8016,870.5048,10.86196,0.02088907,0.1793523,0.9835631,10.96462,NorthWalkingSignal,-3.029931,2.21664,13.8,721.0986,792,15.80031,0.0008295138,0.04487004,0.9989925,-3.043038,1.507679,-1.984396,15.80031,NorthBuildings_NoColliders,0.01928782,0.1351527,0.9906371,7.846629
1767829620352,1.1056,1277,60,Eye Hit,-2.802009,3.484033,8.8,733.5153,870.8013,10.86273,0.02201577,0.1802204,0.9833798,10.96643,NorthWalkingSignal,-3.031107,2.222617,13.8,721.0986,792,15.80035,0.0007807831,0.04524948,0.9989754,-3.043443,1.507659,-1.984164,15.80035,NorthBuildings_NoColliders,0.02051491,0.1356503,0.9905443,7.885431
1767829620370,1.123018,1278,60,Eye Hit,-2.80238,3.483978,8.8,733.5446,870.5723,10.86308,0.02201577,0.1802204,0.9833798,10.9662,NorthWalkingSignal,-3.031115,2.228594,13.8,721.0986,792,15.8004,0.0008034412,0.04562853,0.9989582,-3.043809,1.507645,-1.983942,15.8004,NorthBuildings_NoColliders,0.02056655,0.1352634,0.9905962,7.86377
1767829620390,1.140486,1279,60,Eye Hit,-2.822664,3.403273,8.8,732.4935,866.1592,10.85956,0.02022912,0.1730915,0.984698,10.9513,NorthWalkingSignal,-3.029969,2.232882,13.8,721.0986,792,15.80038,0.0009006101,0.04589678,0.9989458,-3.044199,1.507696,-1.983725,15.80038,NorthBuildings_NoColliders,0.01877552,0.1277982,0.9916225,7.421613
1767829620411,1.16394,1280,60,Eye Hit,-2.839165,3.431709,8.8,731.7444,867.1913,10.86155,0.01877615,0.17562,0.984279,10.95557,NorthWalkingSignal,-3.032045,2.24525,13.8,721.0986,792,15.80056,0.0008115977,0.04667915,0.9989096,-3.044868,1.507693,-1.983332,15.80056,NorthBuildings_NoColliders,0.01748159,0.1295502,0.9914188,7.511441
1767829620433,1.185003,1281,60,Eye Hit,-2.839682,3.431614,8.8,731.7065,866.8759,10.86198,0.01877591,0.17562,0.984279,10.95521,NorthWalkingSignal,-3.029896,2.253495,13.8,721.0986,792,15.80061,0.0009797385,0.04720297,0.9988849,-3.045376,1.50766,-1.982986,15.80061,NorthBuildings_NoColliders,0.01741772,0.1290161,0.9914895,7.480367
1767829620459,1.210333,1282,60,Eye Hit,-2.852794,3.441689,8.8,731.3832,867.2606,10.8623,0.01761081,0.1765089,0.9841415,10.95638,NorthWalkingSignal,-3.03831,2.257215,13.8,721.0986,792,15.80041,0.0004705592,0.04743068,0.9988744,-3.045745,1.507792,-1.982625,15.80041,NorthBuildings_NoColliders,0.01685943,0.1296691,0.991414,7.51353
1767829620484,1.235489,1283,60,Eye Hit,-2.85782,3.452636,8.8,731.9518,867.4505,10.86308,0.01717911,0.1774596,0.9839781,10.95781,NorthWalkingSignal,-3.060584,2.267612,13.8,721.0986,792,15.80052,-0.0009188382,0.04807084,0.9988435,-3.046066,1.508068,-1.982244,15.80052,NorthBuildings_NoColliders,0.01783806,0.1299886,0.9913549,7.539317
1767829620504,1.256285,1284,60,Eye Hit,-2.857968,3.452744,8.8,733.0146,866.7652,10.86419,0.01717911,0.1774593,0.9839782,10.95764,NorthWalkingSignal,-3.088317,2.286145,13.8,721.0984,792,15.80129,-0.002664764,0.04923244,0.9987838,-3.04621,1.508209,-1.982075,15.80129,NorthBuildings_NoColliders,0.0196718,0.1288232,0.9914724,7.487865
1767829620523,1.275177,1285,60,Eye Hit,-2.891398,4.461108,13.8,729.8524,869.66,15.91039,0.009653292,0.1838947,0.9828985,16.05647,NorthBuildings_NoColliders,-3.135288,2.311289,13.8,721.0984,792,15.80254,-0.005625136,0.05080702,0.9986926,-3.046396,1.508409,-1.981879,15.80254,NorthBuildings_NoColliders,0.0150876,0.1337341,0.9909024,7.734465
1767829620536,1.289627,1286,60,Eye Hit,-2.891747,4.461425,13.8,732.3069,868.7611,15.91242,0.009653292,0.1838947,0.9828985,16.05637,NorthBuildings_NoColliders,-3.203758,2.33623,13.8,721.0983,792,15.80425,-0.009934965,0.05235849,0.9985789,-3.046743,1.508743,-1.981787,15.80424,NorthBuildings_NoColliders,0.01931719,0.1322037,0.9910343,7.678105
1767829620553,1.30682,1287,60,Eye Hit,-3.97031,4.63063,13.8,697.3415,873.5093,15.94135,-0.05729242,0.1937178,0.979383,16.11393,NorthBuildings_NoColliders,-3.314597,2.367909,13.8,721.098,792,15.80732,-0.01692209,0.05433141,0.9983795,-3.047104,1.509075,-1.981707,15.80732,NorthBuildings_NoColliders,-0.04082736,0.1401344,0.9892905,8.392881
1767829620580,1.331064,1288,60,Eye Hit,-5.944718,5.22029,13.8,635.1583,891.3874,16.05555,-0.1758963,0.2253078,0.9582781,16.46872,NorthBuildings_NoColliders,-3.406589,2.163695,9.214238,721.5469,792,11.22066,-0.03196402,0.0582795,0.9977884,-3.047931,1.50976,-1.981611,11.22066,NorthWalkingPole,-0.1455753,0.1683878,0.974912,12.86124
1767829620598,1.35059,1289,60,Eye Hit,-5.94593,5.221162,13.8,648.062,887.2723,16.12192,-0.1758963,0.2253078,0.9582781,16.46895,NorthBuildings_NoColliders,-3.909034,2.530133,13.8,721.0959,792,15.83809,-0.0542951,0.06437353,0.9964477,-3.049103,1.510579,-1.981833,15.83809,NorthBuildings_NoColliders,-0.1242152,0.1620808,0.9789283,11.78293
1767829620624,1.376127,1290,60,Eye Hit,-8.073013,6.260248,13.8,592.7855,914.8897,16.46278,-0.2915045,0.2755999,0.9160075,17.22938,NorthBuildings_NoColliders,-4.412377,2.687759,13.8,721.0927,792,15.88448,-0.08573186,0.07403003,0.9935641,-3.050571,1.511831,-1.982247,15.88448,NorthBuildings_NoColliders,-0.2129946,0.2040623,0.9555061,17.15582
